date,⏰ 8:30 起床｜不刷手机，喝水,🥚 早餐｜优质蛋白，拒绝糖油,📐 上午深度学习｜先吃最难的青蛙,🏀 运动时光｜篮球/健身/跑步,🗣️ 弹性时间｜口语/社交/补漏,🛌 24:00 睡觉｜放下手机,note
2026-06-30,True,True,True,False,True,False,
2026-07-01,True,True,True,True,True,True,
2026-07-03,False,False,False,False,False,False,
2026-07-16,True,True,True,True,True,True,
